phase,token_layer_count,k,selected_score_share,all_sigmoid_score_share,renormalization_multiplier,cumulative_gate_share,cumulative_contribution_norm_share,reference_routed_cosine,reference_routed_relative_l2,reference_routed_norm_ratio,renormalized_routed_cosine,renormalized_routed_relative_l2,renormalized_routed_norm_ratio,reference_total_cosine,reference_total_relative_l2,renormalized_total_cosine,renormalized_total_relative_l2
prompt,388320,1,0.10158099874909346,0.02127722961153508,11.1596931391505,0.10158099866006715,0.17505124244343168,0.57174898515673,0.7890897715489561,0.44803599328183324,0.571748230112989,4.169954955356819,4.625744610968371,0.7890372461824688,0.5695093107925897,0.61112582414888,3.0201972623297744
prompt,388320,2,0.1839139508424986,0.03813030880656773,5.979235114351829,0.1839139511605374,0.28874847399117676,0.7131120116611445,0.667119296318128,0.5884788353181838,0.7131493915266887,2.7334290295213055,3.3352994904087856,0.8573587255365916,0.47638267351120256,0.7400205551227228,1.9726537850593706
prompt,388320,4,0.31632203739712056,0.0642312011351102,3.3512531608232607,0.3163220368494553,0.4414699202537733,0.830064904999232,0.521285712539683,0.7225903059800662,0.8300833360422871,1.6256483505722128,2.3490478395777177,0.9167320365074686,0.36709198983647867,0.8533361858185987,1.166799529251072
prompt,388320,8,0.5185839874684491,0.10186364312733354,1.9756508803731088,0.5185839871295352,0.6344000233806206,0.917244281963306,0.36030066875601974,0.8435255762820485,0.9172535964280526,0.8270126912983838,1.6467926124903614,0.9609984499513243,0.249500260116217,0.937873664332556,0.5887235614390937
prompt,388320,11,0.6427592193436907,0.12388072700186378,1.5750776729615177,0.6427592174919436,0.7377831250146725,0.9480241041297426,0.27984147465150444,0.8944960721147174,0.9480341546860653,0.5429368008789233,1.4005947925055229,0.9762085125777374,0.19217564189107417,0.9653772247343531,0.38404288355170524
prompt,388320,13,0.7176487811367159,0.13683048273353454,1.4038671721634082,0.7176487813135406,0.7963687218998899,0.962304390346164,0.23402163748344276,0.9205653626731162,0.9623129249159377,0.4102989445903638,1.2877962602624,0.9830175672483189,0.16007023715695384,0.9768365894171452,0.28883398107027
prompt,388320,15,0.7876756280550113,0.14872948869319919,1.2748464574232286,0.7876756291159593,0.8491317263001221,0.9735534273109467,0.19120992864779499,0.9426763977000484,0.9735603529875495,0.3039271187342682,1.199425098087545,0.9884305175558058,0.1301892954096364,0.9852034752586029,0.21271656003136374
prompt,388320,17,0.8535341148323418,0.15973757425876473,1.173937622401564,0.8535341132753024,0.8971802260043643,0.9826794964323134,0.1492975293583078,0.9617435311111935,0.9826846621731058,0.2148037651634334,1.1279730702212774,0.9926092389782221,0.10136064901475214,0.9911803323347282,0.14938338504966808
prompt,388320,19,0.9155107116817102,0.1699246212293643,1.0930415766004382,0.915510712673893,0.9409090362166886,0.9899552912490084,0.10587187143979762,0.978209588966794,0.9899582806859529,0.13674073519103067,1.0688639003846396,0.9959332329970503,0.07157196322763756,0.9954878278656855,0.09422267418589594
prompt,388320,21,0.9733078471613265,0.17924707716673943,1.027503840747467,0.9733078462968503,0.9808974307409568,0.9961059997736991,0.05285293991287206,0.9927384255695697,0.9961073658325862,0.06018527119854472,1.0199965599588174,0.9986796033298915,0.03553689709911756,0.9986376663859509,0.04088599596312251
prompt,388320,22,1.0,0.18346285452420788,1.0,1.0,0.999276817115089,0.9987981527785877,0.0030272922686216367,0.9992745922974318,0.9987981556176059,0.0030272923672796646,0.9992746017477274,0.9997839115949929,0.002865392309573234,0.9997839137267124,0.0028653923704142696
reasoning,23457040,1,0.08277260368481539,0.01173975233290938,13.018467443021338,0.0827726036812894,0.16272954021483818,0.5512489070601518,0.8057518969038986,0.4147915546117271,0.5512515003671979,4.59205589440397,5.0290256153042305,0.8223838330853007,0.5073260658086965,0.6303778705696942,2.914894859469246
reasoning,23457040,2,0.15348956157207155,0.021710505401414056,6.907339692631234,0.1534895615527875,0.269056556867461,0.6885284056229194,0.6933308815971441,0.549500474714398,0.6885322747838776,3.0323980569370255,3.6097871024901176,0.8767267945047256,0.42974099761428614,0.7482018062239623,1.9137057076807635
reasoning,23457040,4,0.2738925916084925,0.03830909411721816,3.78963760084773,0.2738925915519162,0.41546953184967694,0.8070484831506852,0.5548220076865901,0.6846423426391206,0.8070553205726246,1.8226380286375172,2.520157905487245,0.9258692531445635,0.3362348801979526,0.8556885803976619,1.1414132281776903
