phase,token_layer_count,rank,gate_share,actual_gate_weight,expert_output_norm,weighted_contribution_norm,contribution_norm_share,projection_share_of_routed_output
prompt,388320,1,0.10158099866006715,0.5079049943207614,81.77308531528362,40.128124339499124,0.17505124244343168,0.2958628693098977
prompt,388320,2,0.08233295228742109,0.411664760581839,64.98722079188724,27.64451578919798,0.11369723135925489,0.1558621584527965
prompt,388320,3,0.0702797690290554,0.3513988452336893,55.4454001605612,20.869689135605622,0.08450095916161529,0.09880818241465028
prompt,388320,4,0.062128317308219605,0.31064158695491684,49.90792945053752,16.720971901368827,0.06822048714580141,0.07067042235783898
prompt,388320,5,0.056335066826526746,0.281675333548437,46.063574889907635,13.920535487937808,0.057560462076378105,0.05393554482165437
prompt,388320,6,0.051898568223042896,0.2594928416146827,43.20319012823631,11.875763902885108,0.050254696910893126,0.043293741759684874
prompt,388320,7,0.04841440687202405,0.24207203430209967,40.83598857118875,10.306592655118031,0.0444991174630965,0.035570160158632416
prompt,388320,8,0.04561390770613828,0.2280695385595482,39.00838940430312,9.129720769784225,0.04061582548229917,0.030721606690088173
prompt,388320,9,0.043278290286850526,0.21639145112081865,37.44982865756101,8.18591117286509,0.037041857775084314,0.026382590452808507
prompt,388320,10,0.041300550603269794,0.20650275337951488,36.15857401860223,7.440954047654685,0.034230786878469796,0.023174209600881658
prompt,388320,11,0.03959639072448912,0.19798195385667686,35.04486302524762,6.813047083990352,0.032110458855038694,0.020893655509849514
prompt,388320,12,0.03811238086519538,0.19056190424216937,34.078660834077816,6.30125450629282,0.030078022954214193,0.01874409334823876
prompt,388320,13,0.036777181857694165,0.18388590942722904,33.12163267906926,5.83435650965545,0.028507574266847337,0.0172479439450817
prompt,388320,14,0.03556548774389755,0.1778274390117396,32.44965349544111,5.462640816297115,0.027022386847895066,0.01582066390623477
prompt,388320,15,0.034461359130191764,0.17230679546922237,31.72895974344526,5.123574181032019,0.025740616496300866,0.014626245875545476
prompt,388320,16,0.03342293120865401,0.16711465613828258,31.051460733763847,4.806148311975756,0.024490985053130566,0.01345385091097624
prompt,388320,17,0.03243555449207206,0.1621777724970453,30.334540854491596,4.51070437569426,0.023557513100979602,0.012725568629592522
