model_id,label,training_k,eval_k,n,mean_reward,sd_reward,pass_at_1,sd_pass_at_1
fixed_k4,Fixed train K=4,4,4,3,0.3243,0.0186,0.3400,0.0173
fixed_k4,Fixed train K=4,4,6,3,0.329074093780,0.048414344655,0.346666666667,0.045092497528
fixed_k4,Fixed train K=4,4,8,3,0.3924,0.0425,0.4100,0.0400
fixed_k4,Fixed train K=4,4,10,3,0.398149033713,0.024717894512,0.413333333333,0.025166114784
fixed_k4,Fixed train K=4,4,12,3,0.4226,0.0551,0.4400,0.0557
fixed_k8,Fixed train K=8,8,4,3,0.3141,0.0405,0.3333,0.0351
fixed_k8,Fixed train K=8,8,6,3,0.409516672602,0.022794144792,0.426666666667,0.023094010768
fixed_k8,Fixed train K=8,8,8,3,0.3940,0.0529,0.4100,0.0557
fixed_k8,Fixed train K=8,8,12,3,0.3703,0.0200,0.3867,0.0208
fixed_k12,Fixed train K=12,12,4,3,0.3185,0.0465,0.3400,0.0520
fixed_k12,Fixed train K=12,12,6,3,0.402814133903,0.036735219488,0.423333333333,0.035118845843
fixed_k12,Fixed train K=12,12,8,3,0.4090,0.0731,0.4300,0.0794
fixed_k12,Fixed train K=12,12,10,3,0.413849104701,0.023609929300,0.433333333333,0.023094010768
fixed_k12,Fixed train K=12,12,12,3,0.3992,0.0299,0.4167,0.0289
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,4,3,0.335557800570,0.041146778193,0.356666666667,0.041633319989
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,6,3,0.379027732669,0.023317538027,0.393333333333,0.025166114784
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,8,3,0.375802922602,0.021535643913,0.396666666667,0.023094010768
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,10,3,0.419764738841,0.029781395819,0.436666666667,0.032145502537
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,12,3,0.420503450380,0.010305225571,0.436666666667,0.005773502692
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,14,3,0.398684877730,0.067532019933,0.416666666667,0.065064070986
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,16,3,0.380454766619,0.015883260279,0.400000000000,0.010000000000
mixed_k4_k8_k12,Mixed train K=4/8/12,mixed,32,3,0.349265072175,0.066958500625,0.373333333333,0.066583281185
phased_k12_k8_k4,Phased train K=12→8→4,phased,8,3,0.372572935660,0.051470417615,0.386666666667,0.051316014394
phased_k12_k8_k4,Phased train K=12→8→4,phased,4,3,0.365104800570,0.029743591347,0.380000000000,0.030000000000
phased_k12_k8_k4,Phased train K=12→8→4,phased,6,3,0.407261564577,0.043032960285,0.423333333333,0.045092497528
phased_k12_k8_k4,Phased train K=12→8→4,phased,10,3,0.397825405508,0.010968786050,0.420000000000,0.010000000000
phased_k12_k8_k4,Phased train K=12→8→4,phased,12,3,0.392068476496,0.052930768811,0.410000000000,0.050000000000
fixed_k8,Fixed train K=8,8,10,3,0.416034510446,0.028156850697,0.436666666667,0.035118845843
