model_id,training_schedule,eval_k,replicate,seed,beaker_experiment_id,mean_reward,pass_at_1,n_tasks
phased_k12_k8_k4,K12 then K8 then K4,4,1,4202,01M0AVM8T8Q48AWYC17T16F8F5,0.39433271723646723,0.41,100
phased_k12_k8_k4,K12 then K8 then K4,4,2,4203,01M0AVMCQPHP1ZSDP467PK63R6,0.3661106339031339,0.38,100
phased_k12_k8_k4,K12 then K8 then K4,8,1,4202,01M0BGANY0PJFA83Z1FW19VBBN,0.41586022435897435,0.43,100
phased_k12_k8_k4,K12 then K8 then K4,8,2,4203,01M0BGATF7V3F4KZP4EHPGGKK3,0.31566086538461535,0.33,100
phased_k12_k8_k4,K12 then K8 then K4,8,3,4204,01M0BGAYBJSY9A4WWEP65PPPB2,0.38619771723646723,0.40,100
phased_k12_k8_k4,K12 then K8 then K4,4,3,4204,01M0BG9TVAZJ2073A32M4684M8,0.33487105056980054,0.35,100
phased_k12_k8_k4,K12 then K8 then K4,6,1,4202,01M0C21R1SP0NE0038K0SVT68J,0.4535739672364672,0.47,100
phased_k12_k8_k4,K12 then K8 then K4,6,2,4203,01M0C21WG5BKN7TQ7RN3JXDP9J,0.3685102777777778,0.38,100
phased_k12_k8_k4,K12 then K8 then K4,6,3,4204,01M0C220M4RQB4RX9JW34QDJXR,0.3997004487179487,0.42,100
phased_k12_k8_k4,K12 then K8 then K4,10,1,4202,01M0C22480TD563R6GRX8XZQVD,0.3900913839031339,0.42,100
phased_k12_k8_k4,K12 then K8 then K4,10,2,4203,01M0C227VCMHPTCXFXVWBQVNYM,0.4103787820512821,0.43,100
phased_k12_k8_k4,K12 then K8 then K4,10,3,4204,01M0C22BGMFNEJ3M4FS4BCEY72,0.39300605056980054,0.41,100
phased_k12_k8_k4,K12 then K8 then K4,12,1,4202,01M0BGB1YA701E32Y92W2JGF2K,0.44439211538461537,0.46,100
phased_k12_k8_k4,K12 then K8 then K4,12,2,4203,01M0BGB5VT90QB1HA325A397JY,0.39326253205128203,0.41,100
phased_k12_k8_k4,K12 then K8 then K4,12,3,4204,01M0BGB9S4T8ADSJ6X8M4NA87B,0.33855078205128203,0.36,100
