k,suite,evaluation,display_name,kind,direction,score
1,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.22218452218452217
1,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.21608114908419093
1,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.2522113315802056
1,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.20738413197172034
1,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.237
1,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.2269722269641278
2,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.337480824980825
2,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.2842288243592523
2,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.29572077456371026
2,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.22545168892380205
2,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.474
2,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.3233764225655179
3,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.8136678886678888
3,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.5692723089719558
3,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.532153956490557
3,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.5294579732914375
3,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.869
3,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.6627104254843678
4,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.9017816517816518
4,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.7018439386785231
4,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.615825962228066
4,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6355066771406127
4,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.906
4,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.7521916459657707
5,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.9362381862381862
5,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.7526358456025943
5,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.6605307195792494
5,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6999214454045561
5,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.936
5,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.7970652393649172
6,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.9015712140712141
6,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.7516075687266889
6,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.6512072675113555
6,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6732128829536528
6,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.879
6,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.7713197866525823
7,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.9243805493805494
7,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.776280687820051
7,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.6760698063590724
7,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6944226237234878
7,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.905
7,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.7952307334566322
8,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.8047394797394798
8,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.6834772457198846
8,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.5761415252211332
8,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6190102120974077
8,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.801
8,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.6968736925555811
9,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.8587894712894713
9,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.7316122276251753
9,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.6273009801577815
9,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6606441476826395
9,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.849
9,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.7454693653510135
10,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.7930383305383305
10,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.6658560373991587
10,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.5849868515419555
10,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6040848389630793
10,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.77
10,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.6835932116885048
11,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.842964717964718
11,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.7138817869729236
11,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.6155868993545303
11,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.6331500392772977
11,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.839
11,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.7289166887138939
12,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.5178368303368304
12,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.43293946659602484
12,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.3846521635190055
12,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.399057344854674
12,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.485
12,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.4438971610613069
16,olmobase:mcqa_stem,arc:mc:olmo3base,ARC,constituent,higher,0.4662251537251537
16,olmobase:mcqa_stem,mmlu:stem:mc:olmo3base,MMLU STEM,constituent,higher,0.3687009475701201
16,olmobase:mcqa_stem,medmcqa:mc:olmo3base,MedMCQA,constituent,higher,0.3516614869710734
16,olmobase:mcqa_stem,medqa_en:mc:olmo3base,MedQA,constituent,higher,0.33857030636292224
16,olmobase:mcqa_stem,sciq:mc:olmo3base,SciQ,constituent,higher,0.455
16,olmobase:mcqa_stem,olmobase:mcqa_stem,Aggregate,aggregate,higher,0.3960315789258539
1,olmobase:mcqa_non_stem,mmlu:humanities:mc:olmo3base,MMLU humanities,constituent,higher,0.22355473302696446
1,olmobase:mcqa_non_stem,mmlu:other:mc:olmo3base,MMLU other,constituent,higher,0.2250530376400016
1,olmobase:mcqa_non_stem,mmlu:social_sciences:mc:olmo3base,MMLU social sciences,constituent,higher,0.218378341556149
