layer,layer_type,selected_rank_1_weight,selected_rank_2_weight,selected_rank_3_weight,selected_rank_4_weight,selected_rank_5_weight,selected_rank_6_weight,selected_rank_7_weight,selected_rank_8_weight,selected_top_1_cumulative_share,selected_top_2_cumulative_share,selected_top_3_cumulative_share,selected_top_4_cumulative_share,selected_top_5_cumulative_share,selected_top_6_cumulative_share,selected_top_7_cumulative_share,selected_top_8_cumulative_share,raw_top8_mass,full_entropy,full_effective_experts,selected_entropy,selected_effective_experts,rank8_rank9_probability_gap,rank8_rank9_logit_gap,selected_weight_sum,shared_gate,routed_output_norm,shared_unweighted_norm,shared_output_norm,total_moe_output_norm,routed_to_total_norm_ratio,shared_to_total_norm_ratio,shared_branch_norm_fraction,routed_projection_share,shared_projection_share,routed_shared_cosine,branch_coherence_ratio,total_reconstruction_relative_l2
1,linear_attention,0.2163043145129163,0.1628890284379346,0.1355363621674738,0.11793193760263819,0.10464441379431129,0.09469316302785964,0.0869568642840119,0.08103841186236409,0.2163043145129163,0.3791933429508509,0.5147297051183247,0.6326616427209629,0.7373060565152741,0.8319992195431339,0.9189560838271458,0.9999944956895098,0.16444184432107842,5.159206144187636,176.15129619274614,2.010657350377046,7.479786450609002,0.0008234794116808745,0.0625459272582925,0.9999944956895098,0.08516731048202379,0.17917089522647678,1.2177284226874059,0.10550199245277421,0.21919137253398904,0.795168964979225,0.5134874829223414,0.3896105524204754,0.6798992238504424,0.3200513768563919,0.08483241670079356,0.7651756247792773,0.0021634348740281425
2,linear_attention,0.22031471607756958,0.1649235160336098,0.13550111533867812,0.11643436400661471,0.1025273888280478,0.09304147525507582,0.08616259738249897,0.08108687405948194,0.22031471607756958,0.38523823211117936,0.5207393474498575,0.6371737114564722,0.73970110028452,0.8327425755395957,0.9189051729220946,0.9999920469815767,0.14206309483082344,5.247264231588705,191.58636918659684,2.0028632241148574,7.4277565962082095,0.0006080202292936793,0.054295394194084086,0.9999920469815767,0.09559536771790829,0.21548467134291974,1.0900173893444811,0.1063103382135571,0.2508242992517538,0.8354708529272807,0.46262734180281645,0.35162756715109106,0.7346670814816538,0.26524853857400477,0.061329709331332326,0.7723002930782797,0.0020787062027736183
3,linear_attention,0.241399964687696,0.16118624466727502,0.12893170006217966,0.11124188238081871,0.09959964189108016,0.0914385189973697,0.08543516414899632,0.08076752678899678,0.241399964687696,0.402586209354971,0.5315179094171508,0.6427597917979694,0.7423594336890496,0.8337979526864192,0.9192331168354154,1.0000006436244124,0.1487182573411954,5.2139471879224475,186.45843078200764,1.976456276403093,7.26504324912397,0.0005912567060924692,0.051961588769243484,1.0000006436244124,0.1211326665428883,0.1740703038728452,1.0879873177597836,0.13121662404724177,0.22829928601939345,0.7194216198922025,0.6303681890698142,0.4655337834333413,0.5574733547471832,0.44232064539919974,0.02517632575994117,0.742103223383377,0.00227490235975916
4,full_attention,0.2264659503666873,0.15746378659828766,0.12972227873188383,0.11278581110819756,0.1023613406263267,0.09518162294689325,0.08999918530240175,0.08601699933550817,0.2264659503666873,0.38392973696497495,0.5136520156968587,0.6264378268050563,0.7287991675023013,0.8239807903073579,0.9139799757515963,0.9999969749452678,0.12264512918701152,5.288381279094695,199.84482982291857,1.996405976094816,7.4029807696856755,0.00042780615063439534,0.041748728700264894,0.9999969749452678,0.13266084334056416,0.20108555498901248,1.3494122751476318,0.17953112484567316,0.28465796570698426,0.6857475963141629,0.6607193517458864,0.4901837218852865,0.5156344841010987,0.48399919994770696,0.02820295662864236,0.7438972814810138,0.002368814259854021
5,linear_attention,0.22453588293754154,0.16206180252133445,0.1319465786743783,0.11350079927751945,0.10168249060013246,0.09384875880349382,0.0882833243094291,0.08413818554972008,0.22453588293754154,0.386597685458876,0.5185442641332543,0.6320450634107738,0.7337275540109062,0.8275763128143999,0.9158596371238291,0.9999978226735493,0.1330709090981735,5.236838216441924,189.67503970549197,1.9974018333275991,7.39596341267496,0.0004759353781990318,0.043368221794733985,0.9999978226735493,0.12379646512601734,0.23864718243596572,1.210196783761508,0.14559484920160712,0.29094064334387854,0.79263801404854,0.5423804620695406,0.4023804902425891,0.660532204205768,0.3392664167332268,0.026524623595941585,0.7506114660995394,0.0021791992493315417
6,linear_attention,0.21911261012906333,0.1583557947454797,0.1304529656140435,0.11420408689846107,0.10371139536129403,0.09631380982614661,0.09096468358536935,0.08688231348447618,0.21911261012906333,0.377468404874543,0.5079213704885864,0.6221254573870477,0.7258368527483418,0.8221506625744883,0.9131153461598576,0.9999976596443337,0.13126922951111578,5.249911703245126,192.63364214172262,2.0060882842934262,7.456807193391658,0.0004966868843222096,0.04265675954401075,0.9999976596443337,0.16797031535727455,0.24761414003859916,0.9366289154440395,0.15707228602166498,0.3023600896125059,0.7788767969498718,0.5760772739360535,0.4219434778864551,0.6319611551892005,0.3679405698468567,0.007258463145073884,0.739426109230083,0.002224406594383558
7,linear_attention,0.21584254713633508,0.1555349272888745,0.13001812066255058,0.114636101005548,0.10473552763191195,0.09783872246730925,0.09270729437773605,0.08868598221107171,0.21584254713633508,0.3713774744252096,0.5013955950877601,0.6160316960933082,0.7207672237252201,0.8186059461925294,0.9113132405702654,0.9999992227813369,0.1262881785586387,5.26632209390773,195.43979031507092,2.0118696776424696,7.497850035685964,0.00047450350609015295,0.04108969665423778,0.9999992227813369,0.19115558923259557,0.2338877102935015,0.9815693073070976,0.18734720777053845,0.3142168362422344,0.7087102881396218,0.643439641770478,0.4745832021266289,0.5419697036716102,0.45802478079757286,0.026993651780626845,0.7404945882989687,0.002259553405203786
8,full_attention,0.2157987454253432,0.15322424843366067,0.12772247780346085,0.11384752814302501,0.10510126086258532,0.09898929021314085,0.09444641107837648,0.09086854936886528,0.2157987454253432,0.3690229938590039,0.4967454716624647,0.6105929998054899,0.7156942606680751,0.8146835508812158,0.9091299619595924,0.9999985113284575,0.1114986182700224,5.32076876684582,206.0103668167413,2.014869116825649,7.518970605031839,0.00038322381438396714,0.03583003325485217,0.9999985113284575,0.19784167791575902,0.2585109059635082,1.352386117185639,0.2690444283551814,0.3917904772666325,0.6403495575019225,0.710253832071254,0.5269533475759843,0.4546575219776292,0.5453840596918138,0.029687473594897512,0.7414624033483221,0.0023330085238172774
9,linear_attention,0.2104417389067351,0.152431145023997,0.12747663127965306,0.11429305465009287,0.1060541720427947,0.10034873789701947,0.09613661207278475,0.09281706381210679,0.2104417389067351,0.362872883930732,0.4903495152103851,0.6046425698604779,0.7106967419032726,0.8110454798002923,0.9071820918730769,0.9999991556851837,0.09908472169977345,5.359638867675275,213.46611173548604,2.020648242268481,7.558513763830132,0.00032949637568102305,0.03311219048722843,0.9999991556851837,0.1734351606248,0.28003454653347554,1.3189608446336878,0.23236704281043039,0.3851790660556591,0.7082598781774978,0.6327592395942756,0.4721599185959808,0.5510697870696815,0.4488430321093837,0.021554696840493538,0.7471611686895031,0.0022619407127364394
10,linear_attention,0.21884543196268832,0.15962725159712204,0.13057534277826569,0.11372272283502821,0.10331459309100925,0.09614802156164914,0.09088444642123276,0.08687966876201077,0.21884543196268832,0.3784726835598104,0.5090480263380761,0.6227707491731042,0.7260853422641135,0.8222333638257627,0.9131178102469955,0.9999974790090062,0.1264205544485498,5.263386204302602,195.94473617538324,2.0100078280618354,7.477737403920028,0.0005038145673054026,0.04121473854624818,0.9999974790090062,0.18177632122550927,0.32239250905791256,1.2242751336558617,0.22331757917362713,0.40883822631591427,0.7610721041908319,0.5815935854273433,0.4310249735093364,0.6169447514581073,0.38302423106937394,0.03184828069397344,0.7459765243495707,0.002202802713852456
11,linear_attention,0.21921510569993163,0.16151663438555092,0.1325819328866952,0.11500208942618435,0.10328882224731893,0.09508162289682126,0.08899016222617745,0.08432023446111099,0.21921510569993163,0.38073174008548255,0.5133136729721776,0.6283157623983621,0.731604584645681,0.8266862075425023,0.9156763697686797,0.9999966042297906,0.1518464920441782,5.173003079922561,179.25586282243913,2.0072075782803314,7.457927065975341,0.0006576906073779391,0.04967926406103162,0.9999966042297906,0.19489325680177172,0.3429090200729197,1.8559575415345426,0.3572783546180716,0.5290849453327419,0.657917190671825,0.6776181811249081,0.5082391174932698,0.48829958761132897,0.5117065995170098,0.08053297259516347,0.7496784498460709,0.0022622602099028333
12,full_attention,0.22125091965543586,0.1631398960836393,0.13300171184118056,0.11474647598077416,0.102787008053089,0.09419840935618629,0.08783613074658324,0.08303696689990438,0.22125091965543586,0.3843908157390752,0.5173925275802557,0.63213900356103,0.7349260116141189,0.829124420970305,0.9169605517168883,0.9999975186167928,0.15892545636047573,5.135184617038754,172.017617559439,2.0038926885475252,7.433603020563609,0.0006690995779258347,0.0510308139105742,0.9999975186167928,0.235238938866538,0.40258079430521726,1.2762789946245612,0.29673408801424117,0.5194636452756597,0.7507512423433943,0.600131541419004,0.4438253242235813,0.6011923763243275,0.39891824557878747,0.028246943169262118,0.7409842178603187,0.0022538944993665093
13,linear_attention,0.21260375453258754,0.15591776544107488,0.13044070153227014,0.11538133553272971,0.10538557285234422,0.09833587135818124,0.0930248431235106,0.08890686579930823,0.21260375453258754,0.36852151997366245,0.49896222150593267,0.6143435570386623,0.7197291298910065,0.8180650012491878,0.9110898443726984,0.9999967101720065,0.1224035934996434,5.267915910573589,195.1436470283107,2.01786220857217,7.537131532280076,0.00044804497486361375,0.04066621639042039,0.9999967101720065,0.18845496314867213,0.34535074805677574,1.3207379310213827,0.24757087634462863,0.4429072085278662,0.7578431088357561,0.5883040189105629,0.43516783752612503,0.6110235203358022,0.3889778083622115,0.030032634193469767,0.7438530848252425,0.002202666821773245
14,linear_attention,0.21271524128026612,0.1574467884363938,0.1310205740387336,0.11531448370825019,0.10497968190316521,0.09776337953623858,0.09243133023474165,0.08832743231378193,0.21271524128026612,0.3701620297166599,0.5011826037553934,0.6164970874636436,0.7214767693668088,0.8192401489030475,0.9116714791377891,0.9999989114515712,0.11792100661478629,5.280274002144282,197.28534402223113,2.0178108510595476,7.534304270478571,0.0004296182854864661,0.04084121105043617,0.9999989114515712,0.16174066509631413,0.42520599030986467,1.8997238074979605,0.304321172107157,0.5499085249791343,0.7605965609848736,0.5719423444519073,0.42728801257728266,0.6224232281340397,0.37742862305392516,0.0407375934428829,0.7515673805736928,0.0021895458221468053
15,linear_attention,0.20742126574317643,0.15380918278983083,0.13033190668981962,0.11616060555590883,0.10667451893703923,0.09989615771105866,0.09483377705021188,0.09087059742743585,0.20742126574317643,0.3612304485330073,0.49156235522282693,0.6077229607787357,0.7143974797157749,0.8142936374268337,0.9091274144770455,0.9999980119044815,0.10852852713460397,5.327574571191452,206.91340807566306,2.0248575415926635,7.586930656799382,0.0003851515468388091,0.03856639161606656,0.9999980119044815,0.19175790381063265,0.3704030470599884,3.271824003823804,0.6069182548152967,0.7699712353126226,0.5098166711355121,0.7745062087753917,0.6070283481794986,0.3360936043446708,0.6638725924050527,0.12290216122282249,0.7802913849265884,0.0023005936939663055
16,full_attention,0.21241025503363553,0.15485585007886796,0.1299450362544727,0.11524241682103621,0.10559647100483767,0.09873343882464376,0.09360836477424421,0.08960728278106399,0.21241025503363553,0.36726610511250346,0.49721114136697625,0.6124535581880123,0.7180500291928501,0.8167834680174937,0.9103918327917381,0.999999115572802,0.11137217248368225,5.3179724954703165,204.91808306932944,2.020471136268747,7.5538494555164215,0.00039857827236141084,0.03904332070281318,0.999999115572802,0.15265867252664528,0.4400131147066821,2.2114876354895907,0.3339091514902144,0.577740344721135,0.7486675243063049,0.5943455639154299,0.4412896554706462,0.601357481272995,0.39842202914880964,0.03316746370312093,0.7455919417047747,0.002252094681994231
17,linear_attention,0.20390205512270634,0.15328755503032043,0.13073647448510856,0.11695519952219102,0.10753377198669577,0.10069423851962367,0.09548796304554409,0.09139971942542086,0.20390205512270634,0.3571896101530268,0.4879260846381353,0.6048812841603265,0.7124150561470222,0.8131092946666457,0.90859725771219,0.9999969771376108,0.11171439736666272,5.304660854609135,202.2435162764102,2.0300755349067336,7.623679409172422,0.00040816671824860285,0.03937108206834507,0.9999969771376108,0.18085816576296362,0.4656314315314873,2.192582948953742,0.39015031455569177,0.6430869792011779,0.7359102034414677,0.5993848574960315,0.4490586789094137,0.5914159563555065,0.40853489463650194,0.03924074575200962,0.7501563467290361,0.0021562651814162575
18,linear_attention,0.2064586332077162,0.15583019311979615,0.13158911101526324,0.11674919200462001,0.10669203338770894,0.09933835229678852,0.0937750073742229,0.08956717040066742,0.2064586332077162,0.36228882632751236,0.4938779373427756,0.6106271293473956,0.7173191627351047,0.8166575150318932,0.9104325224061162,0.9999996928067837,0.11377928282729362,5.3022864545885,201.72436593356701,2.0246854542174018,7.584886023285601,0.00041881598284605677,0.04064861013138082,0.9999996928067837,0.1546442444373016,0.45388146884361297,2.399995002331949,0.37026396928297983,0.6189753926331967,0.7405605211934078,0.5939619576490883,0.444243603303067,0.5963087775978536,0.4034863458078248,0.03108187773571103,0.7506016044424121,0.0022109633081462262
