family,condition,replicate,experiment_id,math500_pct,gpqa_diamond_pct,ifeval_ood_pct,macro_pct,predictions,capped_outputs,capped_pct,empty_parsed_outputs,empty_parsed_pct,validation
temperature,p=0.5,1,01KXQ42DGCEHGED8NQKK19VXW0,95.200000,59.595960,39.000000,64.598653,998,18,1.803607,14,1.402806,valid
temperature,p=0.75,1,01KXQ42NH7CTQATBYMWHF0NM0R,94.600000,59.090909,40.000000,64.563636,998,20,2.004008,14,1.402806,valid
temperature,p=1.5,1,01KXQ42X2X15PW5FR0R6YGGWZA,94.000000,63.636364,38.666667,65.434343,998,10,1.002004,7,0.701403,valid
temperature,p=2.0,1,01KXQ434WEJWDQ02A3H1X9XPBX,64.200000,55.555556,28.333333,49.362963,998,83,8.316633,253,25.350701,valid
temperature,p=0.5,2,01KXQ43EHVAQFQ13J63NWYQCQV,95.000000,59.090909,39.666667,64.585859,998,22,2.204409,17,1.703407,valid
temperature,p=0.75,2,01KXQ43PMXDFWRN9T619492D40,95.000000,61.111111,40.333333,65.481481,998,24,2.404810,16,1.603206,valid
temperature,p=1.5,2,01KXQ43YY4R5AD8KAMRWBTQVJ3,94.600000,63.636364,37.666667,65.301010,998,16,1.603206,11,1.102204,valid
temperature,p=2.0,2,01KXQ446XS228H81V4ZMT16Y2N,67.200000,59.090909,27.000000,51.096970,998,75,7.515030,242,24.248497,valid
temperature,p=0.5,3,01KXQ44FW8FDPDZE63VY86WDJB,95.800000,60.101010,39.333333,65.078114,998,24,2.404810,15,1.503006,valid
temperature,p=0.75,3,01KXQ44SVT8HZ4EDKRTQYMJJNJ,95.000000,63.636364,39.333333,65.989899,998,19,1.903808,10,1.002004,valid
temperature,p=1.5,3,01KXQ4528S49E0ZYTAYMPCNR1Q,94.600000,66.161616,36.666667,65.809428,998,17,1.703407,12,1.202405,valid
temperature,p=2.0,3,01KXQ45AESFPZJWZ80V3430NP4,64.800000,58.585859,26.666667,50.017508,998,87,8.717435,261,26.152305,valid
temperature,p=1.0 sanity,1,01KXQ45JVEASADZSAN4022N9DR,95.400000,63.636364,39.000000,66.012121,998,17,1.703407,8,0.801603,valid
