objective,routing,step,math500_accuracy,math500_stddev,math500_min,math500_max,math500_replicate_count,math500_replicate_1,math500_replicate_2,math500_replicate_3,aime_pass_at_1,aime_pass_at_8,aime_experiment_id
cost,native-k8,20,0.758,0.01907878402833893,0.746,0.78,3,0.746,0.78,0.748,0.11354166666666667,0.27637735185343637,01KZ5MAH6KPVCGM5CC30HWXT7W
cost,native-k8,40,0.7886666666666667,0.009451631252505225,0.778,0.796,3,0.796,0.792,0.778,0.09791666666666667,0.26287179487179485,01KZ5MB5CEAXYTDXB3Q2CR0VSH
cost,native-k8,60,0.7813333333333334,0.007023769168568499,0.774,0.788,3,0.774,0.788,0.782,0.11041666666666666,0.26739677514427235,01KZ5MBRM047X98SF8BG8RHCBT
cost,native-k8,80,0.7926666666666667,0.008082903768654767,0.784,0.8,3,0.8,0.794,0.784,0.10729166666666666,0.28890370433751966,01KZ5MCC3KQSF4SH9DPD0BZNZJ
cost,native-k8,100,0.7913333333333333,0.018147543451754948,0.772,0.808,3,0.794,0.808,0.772,0.121875,0.2597902417691072,01KZ5MCZW5K81F5Y3G6KV2DXRW
cost,native-k8,150,0.7959999999999999,0.013114877048604014,0.782,0.808,3,0.808,0.798,0.782,0.12291666666666666,0.24765224418394607,01KZ73H4SP7QFDZZGXRTFJB7NY
cost,native-k8,200,0.8026666666666668,0.007023769168568499,0.796,0.81,3,0.81,0.796,0.802,0.11979166666666667,0.2656099749959594,01KZ73JAYFPQ6FWQZDTFN20N4G
cost,native-k8,250,0.824,0.0020000000000000018,0.822,0.826,3,0.824,0.826,0.822,0.12395833333333334,0.2660227413175133,01KZ73KG2V6AG1P3X2EHRRR2T7
cost,native-k8,300,0.8186666666666667,0.002309401076758505,0.816,0.82,3,0.82,0.82,0.816,0.1375,0.2750179116397137,01KZ870X7D0CS2FEC1SKY2JTNV
cost,reference-k4,20,0.6766666666666667,0.01858314648635509,0.664,0.698,3,0.698,0.664,0.668,0.075,0.24020654161477298,01KZ5MA4AHNTDC1QXJH3FP1KTW
cost,reference-k4,40,0.7093333333333334,0.011547005383792526,0.696,0.716,3,0.716,0.716,0.696,0.07083333333333333,0.2384501678027818,01KZ5MAQA349295C5FPV1QH3BG
cost,reference-k4,60,0.7446666666666667,0.002309401076758505,0.742,0.746,3,0.746,0.746,0.742,0.07604166666666666,0.23642062563975802,01KZ5MBBVQV369RFEXTB1SH4TE
cost,reference-k4,80,0.7559999999999999,0.006000000000000005,0.75,0.762,3,0.75,0.762,0.756,0.08229166666666667,0.24262315203027104,01KZ5MBZEP9XCWC990NT6Q3XNW
cost,reference-k4,100,0.7686666666666667,0.012220201853215585,0.758,0.782,3,0.758,0.766,0.782,0.0875,0.2806702699105369,01KZ5MCJ393420WHEZ75X3CTHH
cost,reference-k4,150,0.7726666666666667,0.0061101009266077925,0.766,0.778,3,0.778,0.766,0.774,0.07708333333333334,0.2430764287004554,01KZ73GR9BPRPQK0G4C71Z0TR0
cost,reference-k4,200,0.7906666666666666,0.007571877794400371,0.782,0.796,3,0.782,0.794,0.796,0.10520833333333333,0.2429701757888632,01KZ73HY27C49CQFBG0MT231XK
cost,reference-k4,250,0.8053333333333333,0.013316656236958737,0.794,0.82,3,0.802,0.82,0.794,0.11354166666666667,0.25556334832308136,01KZ73K3M7CC54G3PKZH8S80N0
cost,reference-k4,300,0.7966666666666667,0.008326663997864539,0.79,0.806,3,0.79,0.806,0.794,0.1,0.26651327686032916,01KZ870G7VB8QHQAEJPWXAZEC2
cost,reference-k6,20,0.7366666666666667,0.026102362600602547,0.712,0.764,3,0.734,0.712,0.764,0.09375,0.2673149526697914,01KZ5MAAT4BCTHF8P6BBG5WM94
cost,reference-k6,40,0.7526666666666667,0.016165807537309534,0.738,0.77,3,0.738,0.77,0.75,0.075,0.25338182025612505,01KZ5MAYGHJW8FCZQ4TGGGT5KX
cost,reference-k6,60,0.7646666666666667,0.013316656236958798,0.756,0.78,3,0.756,0.78,0.758,0.08958333333333333,0.26895557900674694,01KZ5MBJ3BXZDCFKKM7JFBDQRV
cost,reference-k6,80,0.7746666666666666,0.008326663997864539,0.768,0.784,3,0.784,0.768,0.772,0.10104166666666667,0.25936856716389534,01KZ5MC5WZ3BR3V3PTE83AXKFX
cost,reference-k6,100,0.7926666666666667,0.016653327995729078,0.774,0.806,3,0.774,0.806,0.798,0.096875,0.25415477786334295,01KZ5MCSJ8JZ0YVD1Q37Q3WHKW
cost,reference-k6,150,0.8033333333333333,0.011372481406154602,0.794,0.816,3,0.794,0.8,0.816,0.11354166666666667,0.2733308392674355,01KZ73GY9KE3HBYZC4TER362YQ
