run,mode,k,replicate_count,complete,mean,sample_stddev,min,max,empty_outputs
k4-reference-k8,normalized,2,3,True,0.002,0.0034641016151377548,0.0,0.006,0
k4-reference-k8,normalized,3,3,True,0.38066666666666665,0.009018499505645797,0.372,0.39,0
k4-reference-k8,normalized,4,3,True,0.694,0.011999999999999955,0.682,0.706,0
k4-reference-k8,normalized,5,3,True,0.79,0.011135528725660053,0.78,0.802,0
k4-reference-k8,normalized,6,3,True,0.8073333333333333,0.0011547005383792525,0.806,0.808,0
k4-reference-k8,normalized,7,3,True,0.8106666666666666,0.005033222956847112,0.806,0.816,0
k4-reference-k8,normalized,8,3,True,0.8266666666666667,0.016289055630494105,0.808,0.838,0
k4-reference-k8,normalized,9,3,True,0.8026666666666666,0.00986576572463244,0.796,0.814,0
k4-reference-k8,normalized,10,3,True,0.8180000000000001,0.012165525060596385,0.81,0.832,0
k4-reference-k8,normalized,11,3,True,0.8026666666666666,0.013613718571108041,0.792,0.818,0
k4-reference-k8,normalized,12,3,True,0.8053333333333333,0.014189197769195139,0.79,0.818,0
k4-reference-k8,reference,2,3,True,0.542,0.03078960863668127,0.516,0.576,0
k4-reference-k8,reference,3,3,True,0.766,0.010583005244258372,0.754,0.774,0
k4-reference-k8,reference,4,3,True,0.8133333333333334,0.0030550504633038355,0.81,0.816,0
k4-reference-k8,reference,5,3,True,0.826,0.01216552506059645,0.818,0.84,0
k4-reference-k8,reference,6,3,True,0.8253333333333333,0.0061101009266077925,0.82,0.832,0
k4-reference-k8,reference,7,3,True,0.8160000000000001,0.008717797887081291,0.81,0.826,0
k4-reference-k8,reference,8,3,True,0.8266666666666667,0.016289055630494105,0.808,0.838,0
k4-reference-k8,reference,9,3,True,0.8193333333333334,0.012220201853215524,0.806,0.83,0
k4-reference-k8,reference,10,3,True,0.812,0.012165525060596385,0.804,0.826,0
k4-reference-k8,reference,11,3,True,0.8153333333333334,0.006429100507328579,0.808,0.82,0
k4-reference-k8,reference,12,3,True,0.8193333333333332,0.00461880215351701,0.814,0.822,0
k6-reference-k8,normalized,2,3,True,0.0006666666666666666,0.0011547005383792516,0.0,0.002,0
k6-reference-k8,normalized,3,3,True,0.32066666666666666,0.023860706890897698,0.304,0.348,0
