x_eval,y_eval,x_label,y_label,x_family_label,y_family_label,rho,rho_variant_mean,rho_variant_median,rho_min,rho_max,abs_rho_min,abs_rho_max,rho_variant_count,pearson_r,sample_covariance,n_models,n_pairs,min_pairs_per_model,max_pairs_per_model,strong,rho_label,n_label
ExpertQA,LitSearch-rerank,ExpertQA-dev100,LitSearch-rerank,Sci-lit,Sci-lit,0.7757575757575758,0.8,0.8,0.8,0.8,0.8,0.8,4,0.6694532021269665,0.0025822015332658548,5,20,4,4,true,0.78,m=5 · p=20
ExpertQA,FS-Olympiad accuracy,ExpertQA-dev100,FS-Olympiad accuracy,Sci-lit,FrontierScience,0.4041254562261773,0.41039134083406165,0.41039134083406165,0.41039134083406165,0.41039134083406165,0.41039134083406165,0.41039134083406165,2,0.2728323788796107,0.0019353911668581777,5,10,2,2,false,0.4,m=5 · p=10
ExpertQA,FS-Research success,ExpertQA-dev100,FS-Research success,Sci-lit,FrontierScience,0.8587665944806268,0.872081599272381,0.872081599272381,0.872081599272381,0.872081599272381,0.872081599272381,0.872081599272381,2,0.7862311321240488,0.0015575895024948585,5,10,2,2,true,0.86,m=5 · p=10
ExpertQA,FS-Research rubric,ExpertQA-dev100,FS-Research rubric,Sci-lit,FrontierScience,0.3938927711338647,0.4,0.4,0.4,0.4,0.4,0.4,2,0.27901367000287786,0.0009013681249678532,5,10,2,2,false,0.39,m=5 · p=10
ExpertQA,IFEval,ExpertQA-dev100,IFEval,Sci-lit,Sentinel,0.6787878787878788,0.7,0.7,0.7,0.7,0.7,0.7,4,0.5588775849603923,0.003419974482921109,5,20,4,4,false,0.68,m=5 · p=20
ExpertQA,MMLU,ExpertQA-dev100,MMLU,Sci-lit,Sentinel,0.2909090909090909,0.3,0.3,0.3,0.3,0.3,0.3,4,0.3949192099516202,0.0020446111288994033,5,20,4,4,false,0.29,m=5 · p=20
ExpertQA,MATH-500,ExpertQA-dev100,MATH-500,Sci-lit,Sentinel,0.16727838027152628,0.1,0.1,-0.2,0.4,0.2,0.4,4,0.1911452408312811,0.0021893463661904105,5,18,2,4,false,0.17,m=5 · p=18
LitSearch-open,LitSearch-rerank,LitSearch-open-dev50,LitSearch-rerank,Sci-lit,Sci-lit,0.5071692572019167,0.5535714285714286,0.5535714285714286,0.42857142857142855,0.6785714285714286,0.42857142857142855,0.6785714285714286,4,0.6911740670424047,0.00396237593611798,7,28,4,4,false,0.51,m=7 · p=28
LitSearch-open,FS-Olympiad accuracy,LitSearch-open-dev50,FS-Olympiad accuracy,Sci-lit,FrontierScience,0.44398636668856145,0.4504687313477795,0.4504687313477795,0.37839373433213475,0.5225437283634242,0.37839373433213475,0.5225437283634242,2,0.7255038819195391,0.011969230769230768,7,14,2,2,false,0.44,m=7 · p=14
LitSearch-open,FS-Research success,LitSearch-open-dev50,FS-Research success,Sci-lit,FrontierScience,0.32813829065028094,0.34551165954032126,0.34551165954032126,0.29095718698132317,0.40006613209931935,0.29095718698132317,0.40006613209931935,2,0.4462346559557007,0.0011172161172161175,7,14,2,2,false,0.33,m=7 · p=14
LitSearch-open,FS-Research rubric,LitSearch-open-dev50,FS-Research rubric,Sci-lit,FrontierScience,0.3777815089716008,0.3392857142857143,0.3392857142857143,0.2857142857142857,0.39285714285714285,0.2857142857142857,0.39285714285714285,2,0.6353739831342066,0.0034901996336996347,7,14,2,2,false,0.38,m=7 · p=14
LitSearch-open,IFEval,LitSearch-open-dev50,IFEval,Sci-lit,Sentinel,0.26130242164533535,0.23214285714285715,0.23214285714285715,0.17857142857142858,0.2857142857142857,0.17857142857142858,0.2857142857142857,4,0.3816006230770196,0.0022428712522045862,7,28,4,4,false,0.26,m=7 · p=28
LitSearch-open,MMLU,LitSearch-open-dev50,MMLU,Sci-lit,Sentinel,0.43660657793904134,0.4107142857142857,0.4107142857142857,0.35714285714285715,0.4642857142857143,0.35714285714285715,0.4642857142857143,4,0.6981649893623763,0.006632132072085341,7,28,4,4,false,0.44,m=7 · p=28
LitSearch-open,MATH-500,LitSearch-open-dev50,MATH-500,Sci-lit,Sentinel,0.4413797302068396,0.42678571428571427,0.42142857142857143,0.32142857142857145,0.5428571428571428,0.32142857142857145,0.5428571428571428,4,0.4893561837922395,0.00815753846153846,7,26,2,4,false,0.44,m=7 · p=26
SAGE-open,LitSearch-rerank,SAGE-open-dev50,LitSearch-rerank,Sci-lit,Sci-lit,0.676923076923077,0.6964285714285714,0.6964285714285714,0.6428571428571429,0.75,0.6428571428571429,0.75,4,0.7419154351131482,0.0014084556760539432,7,28,4,4,false,0.68,m=7 · p=28
SAGE-open,FS-Olympiad accuracy,SAGE-open-dev50,FS-Olympiad accuracy,Sci-lit,FrontierScience,0.7554133640923694,0.747778094037314,0.747778094037314,0.6847124716486248,0.8108437164260031,0.6847124716486248,0.8108437164260031,2,0.8234189839717786,0.0044985019254250025,7,14,2,2,true,0.76,m=7 · p=14
SAGE-open,FS-Research success,SAGE-open-dev50,FS-Research success,Sci-lit,FrontierScience,0.48268766608168373,0.5000826651241492,0.5000826651241492,0.4364357804719847,0.5637295497763136,0.4364357804719847,0.5637295497763136,2,0.5425125184717238,0.00044978420033365093,7,14,2,2,false,0.48,m=7 · p=14
SAGE-open,FS-Research rubric,SAGE-open-dev50,FS-Research rubric,Sci-lit,FrontierScience,0.5492966817522088,0.5357142857142857,0.5357142857142857,0.4642857142857143,0.6071428571428571,0.4642857142857143,0.6071428571428571,2,0.7476167639658092,0.0013599420653649364,7,14,2,2,false,0.55,m=7 · p=14
SAGE-open,IFEval,SAGE-open-dev50,IFEval,Sci-lit,Sentinel,0.42417582417582417,0.375,0.375,0.2857142857142857,0.4642857142857143,0.2857142857142857,0.4642857142857143,4,0.5429565807392301,0.0010567710465509408,7,28,4,4,false,0.42,m=7 · p=28
SAGE-open,MMLU,SAGE-open-dev50,MMLU,Sci-lit,Sentinel,0.5538461538461539,0.5357142857142857,0.5357142857142857,0.5,0.5714285714285714,0.5,0.5714285714285714,4,0.7495499639626858,0.0023578502692349038,7,28,4,4,false,0.55,m=7 · p=28
SAGE-open,MATH-500,SAGE-open-dev50,MATH-500,Sci-lit,Sentinel,0.6326292598573245,0.6357142857142857,0.6142857142857143,0.42857142857142855,0.8857142857142857,0.42857142857142855,0.8857142857142857,4,0.5437864916379764,0.0030013847168216395,7,26,2,4,false,0.63,m=7 · p=26
SAGE-short,LitSearch-rerank,SAGE-short-dev50,LitSearch-rerank,Sci-lit,Sci-lit,0.8663115643322133,0.875,0.875,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8928571428571429,4,0.8964913802799765,0.012891960962957057,7,28,4,4,true,0.87,m=7 · p=28
SAGE-short,FS-Olympiad accuracy,SAGE-short-dev50,FS-Olympiad accuracy,Sci-lit,FrontierScience,0.6472318679647124,0.6486749731408024,0.6486749731408024,0.6306562238868912,0.6666937223947136,0.6306562238868912,0.6666937223947136,2,0.8825437365039674,0.03652307692307692,7,14,2,2,false,0.65,m=7 · p=14
SAGE-short,FS-Research success,SAGE-short-dev50,FS-Research success,Sci-lit,FrontierScience,0.5987641593469991,0.600099198148979,0.600099198148979,0.600099198148979,0.600099198148979,0.600099198148979,0.600099198148979,2,0.6660777697188103,0.0041831501831501835,7,14,2,2,false,0.6,m=7 · p=14
SAGE-short,FS-Research rubric,SAGE-short-dev50,FS-Research rubric,Sci-lit,FrontierScience,0.40980057093238403,0.4107142857142857,0.4107142857142857,0.39285714285714285,0.42857142857142855,0.39285714285714285,0.42857142857142855,2,0.7230779962331361,0.009963469780219782,7,14,2,2,false,0.41,m=7 · p=14
SAGE-short,IFEval,SAGE-short-dev50,IFEval,Sci-lit,Sentinel,0.4729353948140144,0.4464285714285714,0.4464285714285714,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.4642857142857143,4,0.6407765236795384,0.009447273368606702,7,28,4,4,false,0.47,m=7 · p=28
SAGE-short,MMLU,SAGE-short-dev50,MMLU,Sci-lit,Sentinel,0.44199569608786393,0.4464285714285714,0.4464285714285714,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.4642857142857143,4,0.7765445268700026,0.01850401976982448,7,28,4,4,false,0.44,m=7 · p=28
SAGE-short,MATH-500,SAGE-short-dev50,MATH-500,Sci-lit,Sentinel,0.47579939338832616,0.49107142857142855,0.48571428571428565,0.39285714285714285,0.6,0.39285714285714285,0.6,4,0.5203396986572848,0.021797292307692305,7,26,2,4,false,0.48,m=7 · p=26
DeepScholar-Bench,LitSearch-rerank,DeepScholar-Bench-dev10,LitSearch-rerank,Sci-lit,Sci-lit,0.8639204497043503,0.8690476190476191,0.8690476190476191,0.8571428571428571,0.8809523809523809,0.8571428571428571,0.8809523809523809,2,0.7897726539036745,0.0026953697235363922,8,16,2,2,true,0.86,m=8 · p=16
DeepScholar-Bench,FS-Olympiad accuracy,DeepScholar-Bench-dev10,FS-Olympiad accuracy,Sci-lit,FrontierScience,0.8503146459584139,0.8503146459584139,0.8503146459584139,0.8503146459584139,0.8503146459584139,0.8503146459584139,0.8503146459584139,1,0.775327854204358,0.00802312702386211,8,8,1,1,true,0.85,m=8 · p=8
DeepScholar-Bench,FS-Research success,DeepScholar-Bench-dev10,FS-Research success,Sci-lit,FrontierScience,0.8470243628419076,0.8470243628419076,0.8470243628419076,0.8470243628419076,0.8470243628419076,0.8470243628419076,0.8470243628419076,1,0.773245936963454,0.0012182543472095075,8,8,1,1,true,0.85,m=8 · p=8
DeepScholar-Bench,FS-Research rubric,DeepScholar-Bench-dev10,FS-Research rubric,Sci-lit,FrontierScience,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,1,0.7730758588671705,0.0027817599560409673,8,8,1,1,true,0.81,m=8 · p=8
DeepScholar-Bench,IFEval,DeepScholar-Bench-dev10,IFEval,Sci-lit,Sentinel,0.905341293183326,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,2,0.9438539691988457,0.0036705004888875235,8,16,2,2,true,0.91,m=8 · p=16
DeepScholar-Bench,MMLU,DeepScholar-Bench-dev10,MMLU,Sci-lit,Sentinel,0.7692442360381201,0.7738095238095237,0.7738095238095237,0.7619047619047619,0.7857142857142857,0.7619047619047619,0.7857142857142857,2,0.6308240358871781,0.003339611619971303,8,16,2,2,true,0.77,m=8 · p=16
DeepScholar-Bench,MATH-500,DeepScholar-Bench-dev10,MATH-500,Sci-lit,Sentinel,0.7643996164254901,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.8095238095238095,0.7142857142857143,0.8095238095238095,2,0.6031874619533109,0.005265589094279662,8,15,1,2,true,0.76,m=8 · p=15
