model,family,mean_pct_low,mean_pct_median,mean_pct_high,bootstrap_samples
OLMo-3 7B Instruct,sci-lit,0.11190476190476191,0.2095238095238095,0.3,2000
Olmo-3 7B Think,sci-lit,0.016666666666666666,0.06190476190476191,0.13571428571428573,2000
GLM-4.1V-9B-Thinking,sci-lit,0.07142857142857142,0.14285714285714285,0.2857142857142857,2000
Qwen3.5 9B Instruct,sci-lit,0.5972222222222222,0.6825396825396824,0.7619047619047619,2000
GPT-OSS-20b,sci-lit,0.39285714285714285,0.4761904761904761,0.5515873015873016,2000
Gemma4 26B-A4B,sci-lit,0.6190476190476191,0.6706349206349206,0.6984126984126983,2000
Nemotron 3 Nano 30B-A3B,sci-lit,0.4384920634920635,0.5238095238095237,0.611111111111111,2000
Qwen3.5-35B-A3B,sci-lit,0.8234126984126985,0.878968253968254,0.9583333333333334,2000
OLMo-3 7B Instruct,frontier-science,0.14285714285714285,0.14285714285714285,0.23809523809523805,2000
Olmo-3 7B Think,frontier-science,0.11904761904761903,0.14285714285714285,0.19047619047619047,2000
GLM-4.1V-9B-Thinking,frontier-science,0.07142857142857142,0.14285714285714285,0.14285714285714285,2000
Qwen3.5 9B Instruct,frontier-science,0.42857142857142855,0.5238095238095238,0.6904761904761904,2000
GPT-OSS-20b,frontier-science,0.5476190476190476,0.7142857142857143,0.9047619047619048,2000
Gemma4 26B-A4B,frontier-science,0.6666666666666666,0.8095238095238094,0.9047619047619048,2000
Nemotron 3 Nano 30B-A3B,frontier-science,0.4761904761904761,0.619047619047619,0.7619047619047619,2000
Qwen3.5-35B-A3B,frontier-science,0.7857142857142857,0.9047619047619048,0.9761904761904763,2000
OLMo-3 7B Instruct,sentinel,0.14285714285714285,0.19047619047619047,0.19047619047619047,2000
Olmo-3 7B Think,sentinel,0.09523809523809523,0.14285714285714285,0.19047619047619047,2000
GLM-4.1V-9B-Thinking,sentinel,0.23809523809523805,0.23809523809523805,0.23809523809523805,2000
Qwen3.5 9B Instruct,sentinel,0.5714285714285714,0.5714285714285714,0.5714285714285714,2000
GPT-OSS-20b,sentinel,0.7619047619047619,0.7619047619047619,0.7619047619047619,2000
Gemma4 26B-A4B,sentinel,1.0,1.0,1.0,2000
Nemotron 3 Nano 30B-A3B,sentinel,0.3333333333333333,0.35714285714285715,0.38095238095238093,2000
Qwen3.5-35B-A3B,sentinel,0.7619047619047619,0.7619047619047619,0.7619047619047619,2000
