x_eval,y_eval,x_label,y_label,x_family_label,y_family_label,rho,rho_variant_mean,rho_variant_median,rho_min,rho_max,abs_rho_min,abs_rho_max,rho_variant_count,pearson_r,sample_covariance,n_models,n_pairs,min_pairs_per_model,max_pairs_per_model,strong,rho_label,n_label
ExpertQA,ARC,ExpertQA-dev100,ARC,Sci-lit,Base,0.7399466761649756,0.7666666666666666,0.7,0.7,0.9,0.7,0.9,9,0.668089020467097,0.0012465871111882723,5,45,9,9,true,0.74,m=5 · p=45
ExpertQA,MMLU-STEM,ExpertQA-dev100,MMLU-STEM,Sci-lit,Base,0.32142857142857145,0.3333333333333333,0.3,0.3,0.4,0.3,0.4,9,0.2218294402647174,0.0023544251985556613,5,45,9,9,false,0.32,m=5 · p=45
ExpertQA,MedMCQA,ExpertQA-dev100,MedMCQA,Sci-lit,Base,0.6107142857142858,0.6333333333333333,0.6,0.6,0.7,0.6,0.7,9,0.6782574843356677,0.004442434549430923,5,45,9,9,false,0.61,m=5 · p=45
ExpertQA,MedQA,ExpertQA-dev100,MedQA,Sci-lit,Base,0.6332747163431105,0.6555555555555554,0.7,0.6,0.7,0.6,0.7,9,0.4539622627519208,0.00638135120789065,5,45,9,9,false,0.63,m=5 · p=45
ExpertQA,SciQ,ExpertQA-dev100,SciQ,Sci-lit,Base,0.6010743070375286,0.5777777777777778,0.6,0.5,0.8,0.5,0.8,9,0.5494479194378615,0.0006425235382547457,5,45,9,9,false,0.6,m=5 · p=45
ExpertQA,LitSearch-rerank,ExpertQA-dev100,LitSearch-rerank,Sci-lit,Sci-lit,0.8150137302686687,0.8333333333333334,0.8,0.8,0.9,0.8,0.9,9,0.7138155889347815,0.00293213259090106,5,45,9,9,true,0.82,m=5 · p=45
ExpertQA,FS-Olympiad accuracy,ExpertQA-dev100,FS-Olympiad accuracy,Sci-lit,FrontierScience,0.579900691290016,0.6142862430326299,0.7,0.30779350562554625,0.9,0.30779350562554625,0.9,9,0.5008373087806187,0.003808548422415356,5,45,9,9,false,0.58,m=5 · p=45
ExpertQA,FS-Research success,ExpertQA-dev100,FS-Research success,Sci-lit,FrontierScience,0.21842443821430607,0.1793266443895627,0.22360679774997896,-0.6324555320336759,0.872081599272381,0.22360679774997896,0.872081599272381,9,0.21921108239140105,0.00040096532102618484,5,45,9,9,false,0.22,m=5 · p=45
ExpertQA,FS-Research rubric,ExpertQA-dev100,FS-Research rubric,Sci-lit,FrontierScience,0.25,0.2888888888888889,0.4,-0.2,0.6,0.0,0.6,9,0.19994271488226933,0.0007821902957896445,5,45,9,9,false,0.25,m=5 · p=45
ExpertQA,IFEval,ExpertQA-dev100,IFEval,Sci-lit,Sentinel,0.7399466761649756,0.7666666666666666,0.7,0.7,0.9,0.7,0.9,9,0.6623768911945102,0.004460684436552512,5,45,9,9,true,0.74,m=5 · p=45
ExpertQA,MMLU,ExpertQA-dev100,MMLU,Sci-lit,Sentinel,0.32142857142857145,0.3333333333333333,0.3,0.3,0.4,0.3,0.4,9,0.4602883762162859,0.002550974112214791,5,45,9,9,false,0.32,m=5 · p=45
ExpertQA,MATH-500,ExpertQA-dev100,MATH-500,Sci-lit,Sentinel,0.35388754077455353,0.3666666666666667,0.4,0.3,0.4,0.3,0.4,9,0.4095280896082931,0.006290302872453231,5,45,9,9,false,0.35,m=5 · p=45
LitSearch-open,ARC,LitSearch-open-dev50,ARC,Sci-lit,Base,0.4567135166945488,0.48509198910556567,0.49099025303098287,0.39285714285714285,0.5714285714285714,0.39285714285714285,0.5714285714285714,9,0.7129343710917913,0.0029562859361246486,7,63,9,9,false,0.46,m=7 · p=63
